,SPAIN,GERMANY,FRANCE,ITALY,POLAND,TURKEY,UNITED_KINGDOM,CZECH_REPUBLIC,BELGIUM,NETHERLANDS,AUSTRIA,PORTUGAL,FINLAND,HUNGARY,ROMANIA,GREECE,SWEDEN,DENMARK,LITHUANIA,SLOVAKIA,IRELAND,BULGARIA,SWITZERLAND,NORWAY,LATVIA,SLOVENIA,ESTONIA,CROATIA,LUXEMBOURG,CYPRUS,ICELAND,MALTA,LIECHTENSTEIN
SPAIN,0,19883,22929,38960,10928,1410,17646,4172,9347,7487,3150,12010,4851,1919,1426,1687,5926,4801,1085,951,3771,362,965,2744,510,1239,349,161,43,231,290,131,23
GERMANY,30523,0,27249,9058,4315,6570,18249,2365,2224,4959,3048,3092,7087,2626,476,955,13675,4651,713,255,5310,199,1752,5548,659,497,882,111,148,218,632,284,24
FRANCE,28070,15832,0,8640,3640,1973,23659,3124,2616,4858,2178,1774,5509,2044,1332,1349,9027,4449,910,517,7122,268,727,3204,356,539,531,135,69,188,298,275,9
ITALY,33994,9729,15207,0,2032,1270,7098,944,3718,3189,1560,4904,2209,897,735,603,2777,2001,491,197,1450,80,439,1235,186,204,381,30,24,106,180,483,0
POLAND,9265,8663,5032,5168,0,2435,2534,2289,2047,1865,1342,4625,1531,1036,320,889,1540,2521,638,1062,369,594,107,947,314,747,293,183,16,276,106,119,15
TURKEY,3085,7668,2555,4368,7844,0,1015,2246,1304,2315,1065,1897,732,2013,929,541,1713,1214,1558,579,244,258,0,0,386,582,321,0,4,0,0,11,0
UNITED_KINGDOM,9927,5561,12051,3688,346,275,0,733,788,2111,837,519,1083,157,51,164,1525,991,28,57,152,19,276,537,13,48,111,8,5,109,91,227,0
CZECH_REPUBLIC,3360,5209,3770,1381,902,983,2589,0,1244,1370,1775,1877,2092,245,51,748,1362,1132,432,493,508,170,209,1018,167,896,298,78,26,137,105,71,28
BELGIUM,7971,2405,4779,2631,580,646,2396,547,0,1871,749,1445,1425,531,168,215,1513,1133,198,24,814,63,461,646,54,221,115,33,10,90,46,138,11
NETHERLANDS,4934,2153,2969,1400,328,1412,3941,349,1054,0,798,721,1476,637,40,201,2770,1223,110,31,742,49,211,1266,71,77,113,4,4,14,87,49,0
AUSTRIA,4256,1904,3040,2068,321,596,2302,469,551,1396,0,730,1572,186,66,170,2356,1093,117,63,863,26,379,854,66,166,175,94,22,22,185,98,2
PORTUGAL,5382,1140,1321,3936,3162,368,820,1575,985,1030,377,0,517,658,695,197,529,451,490,294,92,103,116,188,86,557,103,33,10,17,5,12,3
FINLAND,2846,4018,2586,774,257,192,2848,843,769,2154,1579,499,0,589,12,203,765,416,64,93,710,39,263,163,37,256,215,23,9,111,80,78,26
HUNGARY,1362,3780,1565,1366,662,469,718,295,912,1142,949,585,937,0,175,218,356,420,103,64,161,52,65,253,40,152,127,26,9,60,24,14,16
ROMANIA,1993,1804,4448,1848,539,413,311,168,638,380,409,883,139,665,0,356,146,426,95,66,72,15,23,179,30,49,11,6,0,18,37,1,6
GREECE,2147,1929,2447,1163,444,303,627,903,654,598,422,661,402,234,78,0,448,389,87,84,64,39,48,117,16,73,32,10,5,126,10,2,0
SWEDEN,1629,1795,2547,765,147,304,2660,284,346,1386,625,270,89,122,13,100,0,276,24,5,400,2,336,164,10,41,23,8,3,6,53,28,0
DENMARK,1633,2144,1601,563,107,395,2346,175,253,1000,463,286,101,99,20,57,278,0,42,4,281,12,176,392,29,61,23,0,0,74,91,43,4
LITHUANIA,907,992,800,662,514,841,384,501,410,424,342,1032,874,262,69,254,612,911,0,187,77,131,30,346,174,200,132,31,2,153,24,26,0
SLOVAKIA,976,1295,985,530,658,164,280,1387,380,250,503,498,463,265,41,176,258,200,127,0,62,35,9,162,69,199,48,26,5,24,35,29,0
IRELAND,1592,1190,2412,392,76,20,447,209,250,515,249,90,177,62,3,16,481,246,0,2,0,30,38,98,11,20,12,0,0,18,3,134,6
BULGARIA,734,1616,945,588,570,311,344,482,436,228,432,364,123,168,97,246,138,148,86,190,69,0,17,41,44,89,41,41,9,14,0,6,5
SWITZERLAND,1020,1657,1086,361,63,0,817,49,240,451,351,107,247,32,3,12,742,301,15,5,188,6,0,0,12,5,9,0,3,3,0,4,0
NORWAY,770,1009,1064,384,65,0,997,136,167,601,229,254,60,64,3,34,360,680,15,15,135,1,0,0,17,28,14,0,0,1,0,13,0
LATVIA,455,818,477,343,312,178,164,181,264,333,184,338,394,90,23,133,360,419,318,91,6,77,14,236,0,88,119,15,6,70,25,18,22
SLOVENIA,1059,875,405,250,210,135,265,378,204,262,377,705,179,54,6,51,165,159,71,59,50,17,30,74,11,0,24,47,0,8,17,25,1
ESTONIA,429,532,368,269,56,99,262,198,113,204,168,260,463,101,2,76,252,174,22,16,19,30,14,71,23,27,0,1,0,47,22,11,0
CROATIA,177,241,145,280,161,0,32,93,58,32,384,121,21,80,4,6,72,17,20,48,6,19,0,0,8,223,3,0,0,6,0,1,0
LUXEMBOURG,61,945,491,50,10,4,51,25,183,22,57,78,21,17,1,2,46,11,2,0,6,1,43,5,0,0,0,0,0,2,1,0,4
CYPRUS,230,31,85,91,28,31,154,21,112,30,37,20,20,8,5,357,45,17,16,0,10,0,3,0,0,7,6,0,0,0,0,0,0
ICELAND,150,118,78,72,12,0,93,30,14,49,53,5,12,9,4,14,152,214,3,0,14,3,0,0,0,8,1,0,0,0,0,1,0
MALTA,20,21,6,142,14,0,136,3,27,11,1,2,24,8,0,2,9,21,4,1,43,0,0,3,0,0,1,0,0,0,0,0,0
LIECHTENSTEIN,21,9,3,4,0,2,10,6,8,6,0,0,20,3,0,0,7,6,0,0,5,1,0,2,6,0,0,0,1,5,1,4,0
