receiving_country,receiving_city,receiving_institution,count
AUSTRIA,Bad Vöslau,INTERNATIONALES KOLLEG FUR TOURISMUS UND MANAGEMENT - ITM GMBH,49
AUSTRIA,Baden,PAEDAGOGISCHE HOCHSCHULE NIEDEROESTERREICH,39
AUSTRIA,Dornbirn,FACHHOCHSCHULE VORARLBERG GMBH,319
AUSTRIA,Eisenstadt,Fachhochschulstudiengaenge Burgenland Gesellschaft m.b.H,147
AUSTRIA,Eisenstadt,JOSEPH HAYDN KONSERVATORIUM DES LANDES BURGENLAND,67
AUSTRIA,Eisenstadt,STIFTUNG PRIVATE PÄDAGOGISCHE HOCHSCHULE BURGENLAND,29
AUSTRIA,Feldkirch,PAEDAGOGISCHE HOCHSCHULE VORARLBERG,21
AUSTRIA,Feldkirch,VORARLBERGER LANDESKONSERVATORIUM GMBH,10
AUSTRIA,Graz,CAMPUS 02 FACHHOCHSCHULE DER WIRTSCHAFT GMBH,34
AUSTRIA,Graz,FH JOANNEUM GESELLSCHAFT MBH,560
AUSTRIA,Graz,KARL-FRANZENS-UNIVERSITAET GRAZ,1651
AUSTRIA,Graz,KIRCHLICHE PAEDAGOGISCHE HOCHSCHULE DER DIOEZESE GRAZ-SECKAU,94
AUSTRIA,Graz,MEDIZINISCHE UNIVERSITÄT GRAZ,184
AUSTRIA,Graz,PAEDAGOGISCHE HOCHSCHULE STEIERMARK,83
AUSTRIA,Graz,TECHNISCHE UNIVERSITAET GRAZ,988
AUSTRIA,Graz,UNIVERSITAT FUR MUSIK UND DARSTELLENDE KUNST GRAZ,146
AUSTRIA,Hall,"PRIVATE UNIVERSITAET FUER GESUNDHEITSWISSENSCHAFTEN, MEDIZINISCHE INFORMATIK UND TECHNIK (UMIT)",5
AUSTRIA,Innsbruck,FHG - ZENTRUM FÜR GESUNDHEITSBERUFE TIROL GMBH,3
AUSTRIA,Innsbruck,LEOPOLD-FRANZENS-UNIVERSITÄT INNSBRUCK,1245
AUSTRIA,Innsbruck,MANAGEMENT CENTER INNSBRUCK,459
AUSTRIA,Innsbruck,MEDIZINISCHE UNIVERSITAET INNSBRUCK,375
AUSTRIA,Innsbruck,PAEDAGOGISCHE HOCHSCHULE TIROL,98
AUSTRIA,Klagenfurt,KÄRNTNER LANDESKONSERVATORIUM,6
AUSTRIA,Klagenfurt,"PÄDAGOGISCHE HOCHSCHULE KÄRNTEN, VIKTOR FRANKL HOCHSCHULE",128
AUSTRIA,Klagenfurt,UNIVERSITÄT KLAGENFURT,664
AUSTRIA,Krems,"DONAU-UNIVERSITÄT KREMS (DUK), ÖSTERREICH",2
AUSTRIA,Krems,IMC FACHHOCHSCHULE KREMS GESMBH,471
AUSTRIA,Kufstein,FHS KUFSTEIN TIROL BILDUNGS - GMBH,530
AUSTRIA,Leoben,MONTANUNIVERSITAET LEOBEN,144
AUSTRIA,Linz,"Anton Bruckner Privatuniversitaet fuer Musik, Schauspiel und Tanz",27
AUSTRIA,Linz,FH OBEROESTERREICH STUDIENBETRIEBSGMBH,599
AUSTRIA,Linz,JOHANNES KEPLER UNIVERSITAET LINZ,763
AUSTRIA,Linz,KATHOLISCH-THEOLOGISCHE PRIVATUNIVERSITÄT LINZ,4
AUSTRIA,Linz,PAEDAGOGISCHE HOCHSCHULE OBEROESTERREICH,180
AUSTRIA,Linz,PRIVATE PAEDAGOGISCHE HOCHSCHULE DER DIÖZESE LINZ,74
AUSTRIA,Linz,UNIVERSITAET FUER KUENSTLERISCHE UND INDUSTRIELLE GESTALTUNG LINZ,211
AUSTRIA,Puch bei Hallein,FACHHOCHSCHULE SALZBURG GMBH,408
AUSTRIA,ST. PÖLTEN,FACHHOCHSCHULE ST. PÖLTEN GMBH,150
AUSTRIA,STEYR,Akademie Für Medizinisch Technischen Laboratoriumsdienst,2
AUSTRIA,Salzburg,PAEDAGOGISCHE HOCHSCHULE SALZBURG,80
AUSTRIA,Salzburg,UNIVERSITAET SALZBURG,1206
AUSTRIA,Salzburg,UNIVERSITÄT MOZARTEUM SALZBURG,163
AUSTRIA,Stams,KIRCHLICHE PÄDAGOGISCHE HOCHSCHULE - EDITH STEIN (KPH-ES),23
AUSTRIA,Vienna,AKADEMIE DER BILDENDEN KUENSTE WIEN,378
AUSTRIA,Vienna,EUROPA-WIRTSCHAFTSSCHULEN GESELLSCHAFT M.B.H.,8
AUSTRIA,Vienna,FACHHOCHSCHUL-STUDIENGANGE BETRIEBS- UND FORSCHUNGSEINRICHTUNGEN DER WIENER WIRTSCHAFT GMBH,429
AUSTRIA,Vienna,FACHHOCHSCHULE DES BFI WIEN GESELLSCHAFT M.B.H.,481
AUSTRIA,Vienna,FACHHOCHSCHULE TECHNIKUM WIEN,164
AUSTRIA,Vienna,"FH CAMPUS WIEN - VEREIN ZUR FÖRDERUNG DES FACHHOCHSCHUL-, ENTWICKLUNGS- UND FORSCHUNGSZENTRUMS IM SÜDEN WIENS",212
AUSTRIA,Vienna,HOCHSCHULE FÜR AGRAR- UND UMWELTPÄDAGOGIK,17
AUSTRIA,Vienna,KIRCHLICHE PAEDAGOGISCHE HOCHSCHULE WIEN/KREMS,190
AUSTRIA,Vienna,KONSERVATORIUM WIEN PRIVATUNIVERSITÄT,112
AUSTRIA,Vienna,MEDIZINISCHE UNIVERSITAET WIEN,400
AUSTRIA,Vienna,MODUL UNIVERSITY VIENNA,45
AUSTRIA,Vienna,PAEDAGOGISCHE HOCHSCHULE WIEN,256
AUSTRIA,Vienna,SIGMUND FREUD PRIVATUNIVERSITÄT,11
AUSTRIA,Vienna,TECHNISCHE UNIVERSITÄT WIEN,2492
AUSTRIA,Vienna,UNIVERSITAET FUER ANGEWANDTE KUNST WIEN,201
AUSTRIA,Vienna,UNIVERSITAET WIEN,5369
AUSTRIA,Vienna,UNIVERSITAT FUR BODENKULTUR WIEN,1147
AUSTRIA,Vienna,UNIVERSITAT FUR MUSIK UND DARSTELLENDE KUNST WIEN,346
